                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 0.3476,                0.18089,                0.82878,                0.95378,                0.98384,                0.99064,                0.92956,                0.40049,                0.23786,                0.87403,              0.0001189,              0.0001189,              0.0001189
                     92,                0.34156,                0.16665,                0.82834,                0.95503,                0.97596,                0.98989,                0.92769,                0.40258,                0.23858,                0.87258,               0.000109,               0.000109,               0.000109
                     93,                0.34111,                0.16674,                0.82824,                0.95782,                0.97771,                 0.9893,                0.92924,                 0.3988,                0.23514,                0.87254,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.33618,                0.16153,                0.82976,                0.96428,                 0.9687,                0.98845,                0.92738,                0.39822,                 0.2369,                0.87203,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.33923,                  0.158,                0.82432,                0.95387,                0.97338,                0.98651,                0.92684,                0.39647,                  0.249,                0.87037,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 0.3349,                0.16019,                0.82753,                0.96297,                0.97071,                0.98755,                0.92962,                0.39297,                0.24836,                0.87048,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.33309,                0.15375,                0.82007,                0.95119,                0.97194,                0.98765,                0.93083,                0.39313,                0.26146,                0.86917,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.32923,                0.15324,                0.81886,                0.95487,                0.97184,                0.98555,                0.92789,                0.39363,                0.25343,                0.86956,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.32379,                0.15046,                 0.8266,                0.95501,                0.97285,                0.98626,                0.92671,                0.39593,                 0.2517,                0.87118,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.32431,                0.15019,                0.82379,                0.95219,                0.97903,                0.98701,                0.92803,                0.39589,                0.24881,                0.87155,               2.98e-05,               2.98e-05,               2.98e-05
